"18131","12","14","21","32","33","02","11"
"18130","03","04","16","18","25","01","11"
"18129","04","07","21","22","29","03","06"
"18128","11","12","14","16","26","08","09"
"18127","01","03","04","11","29","08","12"
"18126","11","13","15","21","27","05","06"
"18125","07","16","20","21","34","04","06"
"18124","08","10","12","19","20","10","11"
"18123","06","09","29","32","35","02","04"
"18122","08","09","21","30","31","05","12"
"18121","06","07","21","29","30","01","10"
"18120","21","22","25","27","30","08","09"
"18119","06","09","11","16","35","02","05"
"18118","04","05","14","21","34","06","09"
"18117","07","11","13","22","29","03","08"
"18116","01","14","17","21","33","07","10"
"18115","02","06","13","18","25","01","02"
"18114","12","18","26","28","29","05","06"
"18113","08","12","27","31","33","04","08"
"18112","03","07","08","09","29","09","10"
"18111","03","16","27","28","32","04","05"
"18110","06","19","21","27","28","03","11"
"18109","10","16","23","25","34","02","05"
"18108","09","10","24","31","32","07","12"
"18107","07","08","09","10","22","03","04"
"18106","04","14","17","24","31","01","04"
"18105","01","16","19","20","31","02","07"
"18104","01","13","14","26","28","07","11"
"18103","14","24","26","28","35","02","03"
"18102","06","07","13","22","24","10","12"
"18101","03","14","15","23","29","04","05"
"18100","06","20","21","26","30","06","09"
"18099","12","13","16","20","21","01","07"
"18098","02","15","18","25","27","05","07"
"18097","10","12","14","18","23","01","04"
"18096","13","14","20","28","34","06","10"
"18095","07","14","18","29","35","05","12"
"18094","11","16","25","30","34","08","10"
"18093","03","11","16","18","33","03","11"
"18092","05","07","14","18","19","04","10"
"18091","06","22","26","28","31","01","07"
"18090","06","20","24","33","34","04","11"
"18089","26","27","28","32","34","06","10"
"18088","08","09","21","25","33","01","08"
"18087","03","14","19","23","25","01","04"
"18086","16","22","24","29","31","04","05"
"18085","01","02","14","25","31","05","07"
"18084","06","11","17","22","35","11","12"
"18083","07","12","25","27","28","10","11"
"18082","01","02","14","17","18","08","10"
"18081","02","10","13","21","35","01","12"
"18080","07","16","24","26","31","10","11"
"18079","03","04","10","27","29","01","05"
"18078","07","11","12","22","30","03","06"
"18077","01","06","09","15","26","08","09"
"18076","07","18","28","29","32","06","08"
"18075","01","06","12","20","34","04","12"
"18074","03","09","12","28","30","04","12"
"18073","13","19","24","25","29","02","08"
"18072","05","12","17","24","26","01","02"
"18071","02","05","23","30","31","03","09"
"18070","02","05","10","16","30","04","07"
"18069","01","08","13","21","24","02","11"
"18068","08","12","16","26","33","05","06"
"18067","03","07","12","18","31","07","10"
"18066","01","20","23","32","33","01","04"
"18065","07","10","28","31","32","08","10"
"18064","01","03","04","11","29","02","04"
"18063","05","14","15","32","34","03","10"
"18062","12","14","19","23","35","02","07"
"18061","04","10","12","28","31","08","11"
"18060","04","22","27","29","31","02","10"
"18059","01","09","10","27","35","06","11"
"18058","09","11","12","26","32","04","10"
"18057","13","19","22","27","28","05","06"
"18056","02","04","16","28","34","05","07"
"18055","03","07","20","33","34","09","10"
"18054","09","10","12","20","30","01","07"
"18053","11","16","21","23","25","02","12"
"18052","05","16","18","19","25","02","07"
"18051","09","18","28","29","35","03","11"
"18050","22","24","26","34","35","06","12"
"18049","04","07","09","10","13","06","12"
"18048","02","03","11","20","25","02","07"
"18047","03","08","10","14","20","04","08"
"18046","10","20","22","29","32","05","10"
"18045","02","05","20","30","35","05","09"
"18044","02","04","06","18","21","05","08"
"18043","03","06","13","28","33","04","11"
"18042","03","19","25","29","35","05","09"
"18041","01","23","25","31","33","01","12"
"18040","05","07","18","27","31","01","08"
"18039","02","07","14","29","32","10","11"
"18038","14","23","25","31","32","01","03"
"18037","01","03","27","30","31","02","11"
"18036","11","17","18","21","27","07","08"
"18035","05","07","10","12","24","07","11"
"18034","08","11","22","27","32","03","07"
"18033","02","03","19","23","34","04","09"
"18032","07","10","17","32","35","05","12"
"18031","03","08","13","17","23","05","11"
"18030","05","18","21","28","32","09","11"
"18029","03","09","21","25","29","01","08"
"18028","04","19","25","30","35","04","07"
"18027","01","18","20","21","26","04","11"
"18026","01","02","03","04","30","03","05"
"18025","07","08","09","15","34","07","08"
"18024","02","16","24","30","32","04","07"
"18023","12","13","18","21","29","02","08"
"18022","02","10","19","33","35","05","06"
"18021","05","06","08","09","15","04","11"
"18020","01","10","13","14","21","09","12"
"18019","10","11","19","21","28","05","12"
"18018","06","08","13","24","28","06","12"
"18017","04","19","21","23","31","04","09"
"18016","01","02","12","13","23","09","12"
"18015","04","13","15","18","29","05","11"
"18014","14","16","18","24","31","01","08"
"18013","08","24","31","33","35","07","10"
"18012","03","22","24","29","34","07","11"
"18011","03","13","15","23","26","01","10"
"18010","24","25","26","28","29","04","12"
"18009","10","12","28","30","34","03","04"
"18008","09","15","17","20","22","10","11"
"18007","03","04","28","31","34","04","11"
"18006","19","20","30","32","33","03","05"
"18005","04","09","23","24","30","08","11"
"18004","04","09","22","28","30","01","10"
"18003","04","21","23","24","30","09","10"
"18002","12","20","23","27","34","01","06"
"18001","01","13","22","25","35","03","04"
"17153","01","09","24","26","34","09","12"
"17152","02","04","07","23","28","02","08"
"17151","05","06","23","28","32","04","05"
"17150","03","06","10","13","18","09","11"
"17149","10","18","19","25","26","04","12"
"17148","19","27","31","32","35","11","12"
"17147","05","16","17","25","34","01","11"
"17146","01","05","11","14","35","09","10"
"17145","04","07","17","18","19","03","10"
"17144","03","21","23","29","32","10","11"
"17143","06","09","24","29","32","02","07"
"17142","01","05","16","19","28","02","10"
"17141","02","08","21","22","29","03","05"
"17140","10","16","25","26","29","01","05"
"17139","02","06","19","25","32","09","12"
"17138","04","07","09","20","25","02","11"
"17137","01","20","22","28","29","05","07"
"17136","01","11","20","21","22","03","04"
"17135","01","12","15","19","22","02","04"
"17134","07","18","19","32","34","02","10"
"17133","15","17","19","32","33","01","03"
"17132","11","17","23","26","27","01","10"
"17131","03","05","08","19","34","01","12"
"17130","05","18","28","33","34","03","04"
"17129","05","17","20","32","33","04","09"
"17128","09","11","13","18","33","02","03"
"17127","02","15","18","21","22","03","10"
"17126","03","04","13","24","33","01","11"
"17125","07","11","18","26","28","04","05"
"17124","03","29","30","32","35","03","08"
"17123","03","15","23","26","32","01","12"
"17122","03","12","18","29","34","03","11"
"17121","01","06","12","26","31","01","07"
"17120","08","15","24","26","27","05","06"
"17119","05","07","13","29","35","03","08"
"17118","02","07","16","20","33","03","11"
"17117","05","07","09","24","32","08","10"
"17116","02","27","30","32","33","01","03"
"17115","14","19","20","25","31","06","08"
"17114","06","07","12","18","23","01","12"
"17113","05","08","17","18","23","04","12"
"17112","05","06","20","31","32","06","12"
"17111","02","14","17","26","34","08","12"
"17110","10","14","20","21","35","02","05"
"17109","06","09","19","26","34","05","07"
"17108","01","04","15","21","22","04","09"
"17107","04","10","19","25","27","06","12"
"17106","09","12","18","23","29","02","04"
"17105","04","15","22","24","32","02","09"
"17104","09","11","22","27","30","09","11"
"17103","04","19","20","24","29","03","04"
"17102","01","12","23","24","29","08","12"
"17101","05","15","21","25","29","05","08"
"17100","02","05","18","19","31","01","09"
"17099","08","09","17","18","24","03","07"
"17098","06","09","17","30","35","10","11"
"17097","07","14","19","22","34","07","12"
"17096","03","07","09","17","28","04","12"
"17095","15","32","33","34","35","03","12"
"17094","03","05","08","29","33","04","08"
"17093","05","06","17","21","29","02","04"
"17092","03","07","09","17","34","04","05"
"17091","01","05","07","16","19","03","12"
"17090","03","06","15","22","35","09","11"
"17089","03","05","06","15","18","03","10"
"17088","05","28","31","34","35","08","09"
"17087","03","14","21","29","35","02","06"
"17086","12","15","18","22","31","01","08"
"17085","09","13","14","25","30","02","05"
"17084","06","11","14","21","31","09","12"
